Unnamed: 0,CCNB1,ZWINT,PBK,GJB3,CBLC,KPNA2,HOXC13,ATAD2,HOXA10,IQANK1,RHOV,PRKCE,ALDH3B2,LMO7,AKR1B15,ARNTL2,HECW2,FAM83A,TGFBR2,GPT2,PYCR1,SLC9A3R2,RBMS2,BOP1,MYRF,RPS6KA2,PREX2,PPP1R14B,H2AFX,GSDMC,SLC1A1,LIMCH1,GADD45B,UTRN,TMEM100,CD55,TSKU,GPD1L,CITED2,PTPRM,KLK6,ALDH3B1,RECK,MYEOV,CASP14,RHOBTB2,ATP11A,SLC7A11,SYT12,LRRK2,TSPAN4,NCCRP1,DDX11,TMEM125,EEF1A2,C1QTNF6,PLEK2,FBXO32,ARHGAP29,NTN4,CYP24A1,STEAP1,PAX3,C2,DDAH1,KCNQ5,HIST1H2BD,TREM1,FOLR1,LEFTY2,RND1,STEAP4,SEMA3B,MDFI,TBX18,ENPP4,AKAP12,OLFM4,INHA,B3GNT3,LPCAT1,NR4A2,ULBP2,TNNT1,MLPH,COBL,ECEL1,SFTA2,PTGES,ADAMTSL4,SERTM1,B3GNT7,PRDM16,SLC16A4,EPHB2,KLHDC7B,SELE,ABCC2,KRT80,C15orf48,PROK2,RORC,GREM2,HOXA9,TMC5,SLC44A4,CAPN8,ELAVL2,PAEP,MAEL,TFF1,SMOC1,MAPK4,S100P
TCGA-18-3419-01,4453,3187,681,1149,11,12631,432,5458,120,6094,5930,607,6351,1397,46,2662,214,2794,1189,769,3597,1186,1453,3465,192,1172,58,2687,3171,999,591,122,918,822,5,4855,2228,3233,610,822,0,236,117,963,0,261,1078,1001,30,412,571,1390,1100,131,910,265,589,1407,259,1057,1734,2168,15,423,1122,4,499,783,0,1,187,3921,621,351,17,285,161,45,27,1416,1225,250,651,13483,2287,38,82,1,1802,582,4,856,14,72,1229,128,47,25,3891,3516,43,32,2,9,1557,226,173,49,1,0,449,7,0,1480
TCGA-18-3421-01,4052,2391,2244,601,875,9185,64,3695,140,2223,4935,260,2326,615,298,2402,169,5222,1433,5354,3818,681,648,4518,46,1355,68,9851,1613,249,232,414,1174,719,155,4565,1851,3957,929,308,1,233,129,16,7,300,706,826,95,1156,798,18,625,659,413,503,1136,4909,598,1133,777,4227,2,599,489,152,423,991,521,2,882,808,65,619,214,609,319,23,16,233,3486,271,587,333,503,149,31,430,793,153,4,548,78,210,1394,624,55,18,154,6554,38,172,9,9,4576,637,581,1,25,1,51,214,26,74956
TCGA-18-4086-01,5295,3594,2373,3666,1197,13219,78,3984,121,3432,1707,630,2170,3368,810,9962,426,2730,3133,2646,2207,1046,1283,2913,113,1111,132,4344,5621,1567,147,2672,1120,4468,37,5397,9581,1048,1594,796,182,428,536,156,12,492,2483,12150,113,465,1258,534,1611,195,170,1393,470,4829,2088,648,118,2061,1,534,794,285,408,365,50,10,93,489,326,2391,835,257,866,3,29,271,3587,512,280,357,161,90,20,24,1857,418,20,994,251,145,1124,237,434,97,1944,415,15,27,14,12,210,243,37,1,27,2,0,1228,59,253
TCGA-18-4721-01,1431,795,444,213,424,6562,127,1465,126,2289,690,273,835,885,12,2717,232,28,1995,1848,1090,307,739,2082,31,1016,53,1402,1386,197,221,551,432,1490,61,1867,2996,744,784,400,0,258,223,10,0,237,787,3165,21,319,385,9,277,100,90,523,78,894,316,676,34,961,14,442,251,467,135,127,66,0,115,90,40,143,341,289,706,90,1,33,1446,194,185,118,62,43,17,21,615,66,43,222,27,55,278,80,170,117,121,65,3,24,7,7,77,51,18,2,25,0,1,12,17,20
TCGA-18-5592-01,4486,3817,1743,2213,2079,15098,207,4358,848,6551,8661,1098,10129,4421,1572,4580,432,843,2453,439,1276,1475,1416,4445,986,1271,67,5897,4454,267,36,3637,604,3260,17,8554,18893,930,835,453,302,314,362,1688,6,497,3248,3248,616,332,535,71,1837,9,27,1907,982,3399,247,987,216,670,30,787,391,504,384,439,26,4,25,40,160,2843,1714,140,314,27,45,140,7661,2243,120,254,1715,98,69,3,2612,752,30,1012,267,53,1467,180,91,33,511,43,3,20,12,14,37,55,10,1,31,0,5,104,41,47
TCGA-18-5595-01,10757,11347,1681,5826,1154,16487,117,14423,222,13197,3136,1118,5786,4858,3536,8407,521,2001,3422,4154,3269,1882,1105,7303,487,4458,177,5062,4545,714,1255,1549,2616,8109,149,2881,11253,3585,3504,844,86,630,249,23,8,1069,3902,40562,78,1404,565,827,4611,651,17,539,2691,11732,1224,481,150,611,1,539,755,667,961,560,774,18,499,905,672,1733,1,422,638,31,3,235,4308,1023,1140,124,1835,811,7,378,1389,276,14,380,892,152,1683,78,47,174,3285,59,1,242,14,48,397,409,226,572,8,1,5,75,59,276
TCGA-21-1075-01,6155,3622,2199,720,2233,15113,91,4818,19,5191,1643,576,1896,1431,1002,7410,231,1584,2040,6137,4311,681,1176,3448,68,575,58,5498,4568,2200,67,4679,889,4176,48,4304,11260,716,4713,190,21,147,551,9,4,150,1521,23989,93,1019,259,44,1530,134,37,686,86,7966,435,770,28,2914,0,210,1710,925,618,353,184,3,113,417,233,418,1,114,568,703,22,142,3493,515,157,132,161,31,4,84,3537,118,286,185,51,71,590,41,57,15674,440,208,3,62,5,22,314,247,146,3,9,0,14,2046,12,226
TCGA-21-1076-01,2731,1898,542,4027,3412,8025,532,3782,169,2887,1661,1085,1435,6984,391,3363,1134,540,9347,2147,1083,2236,2932,2383,478,3498,509,2071,2237,2119,1007,2658,3757,10120,298,7946,3911,1794,4367,2788,440,1854,918,197,1,2730,5147,6107,71,4979,2689,4699,1894,1227,1731,1750,429,4568,1927,2338,842,682,9,2756,2509,381,502,822,1722,41,731,1671,412,1932,652,953,1284,24,29,642,9778,931,708,540,1524,952,63,926,1561,884,5,1219,213,664,1580,470,255,65,13164,775,10,416,43,24,856,852,766,2,19,233,12,93,72,297
TCGA-21-1077-01,4860,2133,3123,1583,2049,10992,188,1906,345,4076,1624,776,3467,3387,126,6045,469,1457,4290,2160,3055,1667,2269,6392,526,1849,227,3588,3989,514,148,1988,2391,3681,90,7092,8197,1569,2224,1913,311,585,486,165,1,975,2920,4111,138,1500,1102,383,1672,481,166,2110,528,3010,503,1534,283,2869,291,604,1142,147,1201,1599,368,3,264,1219,491,2730,1015,1444,1419,99,26,486,8685,452,172,833,542,1071,58,209,910,598,5,1633,122,240,829,141,128,48,2680,689,8,139,84,34,565,417,160,8,60,7,14,45,265,329
TCGA-21-1078-01,1503,1162,246,3856,4166,3055,205,1194,967,8500,2305,563,2922,3037,8,618,299,38762,3680,1597,106,1427,1867,1516,1212,1385,86,5603,2438,85,747,3312,2132,1591,147,3809,12557,3558,8159,11281,0,1147,157,567,10,3604,1165,193,72,103,366,1482,1833,214,2824,200,2538,1417,391,5188,63684,21,41,263,891,3,466,53,68,10,59,50,628,4210,0,1868,387,0,15,9245,2930,231,430,15,1648,106,81,51,13503,199,0,1261,15,36,836,1076,3,32,463,14,0,133,25,23,90,4278,263,4,0,6,3109,1,275,65799
TCGA-21-1079-01,2766,1787,645,7459,4,6659,1255,2448,343,2150,2083,477,2099,963,319,6085,746,24288,4148,703,1246,1143,2181,3211,98,1827,151,11085,2754,1461,124,342,1520,1987,26,1699,11401,300,2172,1500,402,245,480,13,24181,620,3312,449,744,62,957,190,829,32,52,13115,13212,5498,1992,700,140,877,101,545,247,86,4689,9265,3,0,23,88,547,9307,1029,42,1797,0,23,412,8253,361,1021,3699,250,1,8,0,5425,366,1,155,35,81,1140,119,115,74,1172,132,15,12,15,34,2,103,1,161,87,0,0,72,3,313
TCGA-21-1080-01,4097,3037,655,4953,3839,14046,222,5009,532,4645,7662,501,2206,4668,12,2641,418,21378,1690,1024,5018,1624,2712,9550,1268,698,67,5004,5463,1838,304,286,1269,1586,38,4162,2990,1673,3820,568,1,361,243,4351,25,331,2955,305,44,783,570,466,1588,140,53,1119,1060,2694,352,1057,586,1500,11,426,969,41,2076,396,145,9,162,3253,172,1687,1,1811,468,18,36,79,12545,1723,1717,226,227,180,147,66,503,521,0,753,20,102,255,52,30,77,2556,105,12,36,3,10,368,195,74,0,3,1,0,25,3,8679
TCGA-21-1083-01,4407,5272,513,406,2408,14578,31,7347,539,9573,1552,391,2192,3242,1369,2100,552,707,3397,903,1991,2811,1601,6202,1853,729,52,6457,3527,80,83,1231,1004,8643,91,5418,15021,1686,3742,2035,0,579,772,2272,120,410,3709,8654,58,527,879,26,4302,602,30,2402,1007,3051,893,401,3546,661,448,858,1260,2095,331,627,109,8,366,83,507,565,1124,1589,689,70,178,18,2652,711,190,636,348,167,1091,45,970,526,0,708,115,341,1419,873,82,437,659,310,5,80,56,1076,212,138,72,84,20,10,17,1470,7,785
TCGA-21-5782-01,1197,1890,195,2129,806,2993,130,2006,97,1131,1891,476,1435,979,77,1766,324,1308,1169,1124,1628,1789,902,4064,323,634,157,3693,3386,235,104,379,1665,1166,62,1807,2277,372,1247,510,23,343,188,72,46,406,1214,172,128,286,689,174,818,191,88,828,230,2740,573,237,179,424,157,511,420,131,185,290,245,25,236,199,340,2014,189,238,410,32,36,147,3648,202,761,137,647,224,38,94,3360,116,31,227,142,87,791,124,48,144,772,55,16,125,35,10,394,569,166,57,92,31,38,71,98,93
TCGA-21-5784-01,1599,1716,524,2189,2320,5861,327,1467,598,3682,10418,727,5629,2351,2314,1109,891,41112,6316,2574,1392,3629,1871,3646,217,1941,193,7770,3947,580,694,2853,5675,1483,697,5416,4476,1250,2614,1252,13,2586,307,163,53,1444,1414,87,124,2687,1653,5535,151,1986,53,752,448,7335,745,1606,458,978,4,1526,1354,90,2290,961,2742,53,1108,3285,427,3402,233,659,1380,81,11,491,5439,527,860,142,1257,382,11,2394,2592,998,3,1605,136,323,3234,426,108,22,787,1870,8,490,81,19,1542,5777,515,1,18,6,41,74,43,3913
TCGA-21-5786-01,4037,6151,1219,6093,4126,15320,1112,5370,292,7857,2315,1539,4583,1815,188,9427,557,3842,3521,6441,5316,1440,4162,11960,497,1144,98,7420,8392,503,82,487,5274,2257,58,2908,7883,1874,2365,1034,53,361,427,48,81,1575,4590,284,338,282,1208,507,4078,188,6179,3747,1779,5473,3933,936,1635,1370,479,517,992,27,1362,464,30,0,61,88,214,5690,294,283,1073,35,34,608,9330,99,398,5793,108,104,271,46,5219,427,0,588,188,87,3781,327,183,208,2295,115,20,32,26,130,75,50,7,56,8,6,7,25,115,217
TCGA-21-5787-01,5324,6894,1569,4689,36,11987,115,3736,314,3669,21864,417,636,9813,339,1264,955,18029,4123,3490,5404,9545,3583,6462,126,2446,347,10580,6486,2612,79,2826,7517,2847,94,18369,5714,822,5370,4315,29,5750,321,3108,541,3200,4964,1104,4552,1033,3881,18179,2328,1245,3229,4264,856,3688,3517,3134,12473,1562,0,5461,10358,124,4125,1191,919,5,355,6524,6463,5006,274,1199,735,7,253,5739,13333,9616,89,74,5496,1893,564,1552,31639,14862,3,1636,47,1668,845,855,116,1607,3656,316,2,1687,48,134,1064,861,140,3,99,0,522,9499,21248,62289
TCGA-21-A5DI-01,2133,2034,481,2600,3089,3070,144,2219,119,1433,3538,156,1080,1137,580,12364,61,2144,1912,1394,827,656,1182,2737,65,1470,24,4478,1817,926,182,179,412,1055,9,1657,3282,310,667,596,400,89,101,2,486,316,923,725,190,23,364,183,3148,23,11,661,1518,3719,245,258,4307,1805,21,75,142,24,389,551,9,2,24,70,772,2015,256,33,913,13,41,43,3177,243,1067,479,384,15,8,2,3420,285,0,89,16,159,819,118,4,46,367,335,2,9,6,23,61,30,4,1,0,0,2,33,6,851
TCGA-22-0940-01,9406,3456,3067,1152,2455,15447,492,4366,405,2944,2781,721,6951,2742,372,6217,331,9490,6072,1599,1425,1548,2950,2816,289,2190,106,4820,5460,143,196,2386,2959,2032,227,11582,15907,1218,3079,1504,437,2732,709,68,2785,1446,1703,3435,1559,2451,1824,396,808,891,3026,2063,722,2788,708,4128,18042,4740,18,1281,1066,189,219,415,651,16,2007,2414,336,1257,10,483,1621,14,10,955,7870,2517,416,2675,1027,157,76,530,2803,363,9,723,89,844,6433,619,264,30,1225,883,14,142,12,38,1062,380,273,428,536,6,7,1153,46,483
TCGA-22-1011-01,2614,1550,888,2710,987,5286,137,3217,295,3066,2788,561,1407,2046,25,9807,621,3893,5210,1749,1493,2216,2326,2414,150,1712,176,1859,1900,2115,715,1357,1778,2601,137,3625,2831,1482,2555,1383,4,441,325,683,1817,539,1433,298,922,631,982,169,2203,195,85,717,523,4543,1654,1272,422,1966,4,619,851,118,1217,753,52,16,84,702,244,1807,293,655,1536,52,26,456,4631,518,581,92,321,40,62,12,4074,491,9,399,38,220,881,351,629,62,920,277,6,29,18,23,1415,888,41,8,6,0,797,93,13,709
TCGA-22-1012-01,5222,3461,2102,3523,2180,17854,250,2865,11,2710,1359,282,3822,1380,1252,4593,207,729,1119,658,2348,1891,861,5688,833,425,44,5414,2232,368,174,1209,809,1753,41,2820,4598,709,1360,447,95,358,242,34,73,542,568,891,13,570,685,1274,1887,613,86,755,531,2394,1101,823,1087,705,540,424,653,29,165,676,300,5,448,254,107,1764,1201,462,203,3,9,300,5976,402,946,1046,196,455,5,160,969,340,3,454,29,101,197,152,135,103,2054,458,4,75,14,3,272,492,97,224,24,17,6,30,2,1086
TCGA-22-4591-01,3422,6432,1144,561,1722,18250,288,8239,449,8531,1082,3440,3277,6316,1308,4576,563,1482,6091,6392,18193,2146,2494,4933,194,2464,113,3053,10165,1029,1422,3401,1986,2391,198,14835,11117,5000,14506,1043,12,1781,330,53,579,840,3080,17340,345,2161,2168,275,1704,1687,137,552,339,5184,12640,1161,100,4410,17,620,4168,1083,1457,219,770,2,712,1850,289,391,84,1701,546,15,30,1217,12566,769,1166,575,682,178,46,513,265,190,202,1496,84,202,2964,351,44,37,2472,90,6,254,24,16,1522,1726,419,34,1,2,93,11,17,9003
TCGA-22-4594-01,4933,2856,542,15,265,9760,366,2693,131,1603,256,272,720,3932,861,555,695,4225,4608,2993,10458,4450,1372,2187,113,4322,99,5882,3953,374,178,1790,2240,2240,121,16515,5552,1660,3803,742,27,2289,622,65,1,740,11727,4841,27,386,1854,7,1844,4962,38,1387,285,2492,2367,386,1184,1499,5,914,2358,27,860,2928,3583,54,993,6240,255,626,136,3389,1057,7,27,1610,83698,1113,57,42,2997,68,111,2811,1651,286,12,510,527,785,930,261,91,135,1332,604,28,1211,28,19,3995,7967,2835,100,121,18,26,194,6,4861
TCGA-22-4595-01,6413,3465,774,6218,1892,30079,319,4619,222,4107,1363,1559,7320,3810,314,5780,693,4986,6671,1805,2685,1935,1908,3692,432,2651,137,6163,6157,946,399,1578,2147,4796,99,5459,6231,1524,1863,1731,234,970,1088,98,3277,1398,6135,562,37,2149,2602,2429,3191,877,3895,2696,1076,3337,1539,791,447,1032,10,1030,1937,69,1460,967,827,5,1478,1975,429,2226,9,1256,1781,14,22,259,8734,228,2397,2512,933,656,828,305,3316,756,2,814,249,311,2888,241,7,28,5584,241,6,268,46,206,448,609,324,1,70,4076,0,30,522,538
TCGA-22-4596-01,2409,1220,335,230,888,4261,10,3360,196,3234,1172,989,847,7242,297,1242,1224,16089,10683,1259,3780,5321,3515,4619,323,6466,275,2520,2143,78,424,17518,2498,3617,2727,13904,3531,2923,6145,1897,4,5935,776,176,0,2281,8426,717,1288,6132,2644,159,776,2750,16082,2179,1099,18672,2686,4408,6063,2563,0,1126,2406,294,382,4279,1806,9,4581,9236,2966,1517,25,1461,1753,19,22,1411,29447,757,87,3758,3988,1513,20,3325,2588,1610,10,1761,204,1846,1930,554,86,98,1932,2198,31,3509,68,15,7470,3658,3101,1,8674,9,88,186,29,470
TCGA-22-4601-01,976,953,232,798,1026,3814,178,1818,70,3234,1427,292,656,1846,103,1550,324,252,1594,2032,1052,626,1202,1586,546,694,79,1461,1324,904,38,1853,421,1307,67,1587,3572,491,672,928,256,437,147,55,3,496,1719,6227,60,1024,314,827,1250,774,3134,925,111,2851,329,808,3,222,4,360,720,74,640,167,232,5,102,278,304,784,177,930,487,52,18,644,2987,234,269,1511,498,162,61,200,170,249,15,335,149,60,565,43,55,172,7228,60,13,335,10,18,151,147,152,0,4,1,1,91,46,487
TCGA-22-4604-01,3730,3326,1256,4157,2832,11763,545,4389,347,9722,2902,1161,4748,5684,23,5110,794,862,7261,2464,6192,2934,3890,8778,859,1640,139,5324,5863,1307,96,922,3908,5562,66,7207,6913,5393,2286,1716,107,1433,1557,212,13,646,3164,1248,111,743,3036,903,1785,75,69,2313,1066,5471,774,2701,1250,2459,32,1414,1920,631,695,1775,3,0,119,358,328,3142,248,1353,2240,1,24,327,4404,407,731,227,134,321,93,0,708,843,4,699,95,338,2891,1337,34,62,15759,559,16,21,317,50,11,53,21,2,8,8,0,33,670,161
TCGA-22-4607-01,4186,5365,1554,6559,2828,14363,211,3199,627,3493,2525,821,1649,3165,132,1473,336,3005,3726,2513,6206,3288,2523,3066,1351,1479,100,10063,5124,1757,470,1011,1298,1526,82,7779,6032,1886,1405,1096,27,1685,382,111,3,937,1365,561,95,194,1553,1131,1832,1183,76,4878,4128,2751,1688,5698,1201,4603,8,523,2022,190,4129,2089,193,8,176,1380,688,8153,533,2686,529,39,31,4583,3068,712,915,1521,2749,214,20,4,3380,392,3,3023,17,700,1122,140,61,59,3849,1660,35,1305,7,46,1288,6872,688,38,16,10,20,151,13,6714
TCGA-22-4613-01,2161,1301,472,886,344,10028,6,2066,168,2421,1092,271,871,1441,21,1198,96,466,1385,1148,2882,466,674,2515,493,363,44,2068,1881,305,146,434,445,1075,23,1351,1826,846,881,329,17,256,209,11,1,189,1081,469,18,447,536,138,641,213,11,257,259,1556,235,263,80,561,17,506,1194,164,465,278,100,5,77,157,62,498,287,589,347,0,14,50,1546,264,346,8,90,111,22,37,235,145,1,165,9,56,273,103,90,12,1615,115,38,17,6,16,60,40,21,11,1,69,0,30,5,159
TCGA-22-5471-01,4857,5282,865,5085,3685,12768,1348,4966,416,3350,2335,460,5570,3058,305,23329,287,470,2111,1633,3461,3003,1664,5264,430,1013,84,7384,9673,555,129,558,1588,1504,20,4733,7722,1299,619,1573,174,699,338,327,13,354,1389,986,442,325,1539,945,4879,86,84,2015,2541,2154,785,1438,270,3123,464,1179,607,483,996,252,17,1,178,95,325,3619,156,569,383,207,33,741,3818,221,383,308,458,497,540,0,3747,323,1,468,232,119,1211,12907,702,35,2638,426,4,49,30,57,84,168,33,3,6,3,10,153,41,407
TCGA-22-5472-01,2088,2227,666,4730,2874,5256,189,2864,341,4620,10287,1069,2485,11588,35,2237,827,3759,10875,2508,1067,6449,3633,3183,2386,4421,378,5203,3563,2066,779,3697,2740,8277,1196,12055,7002,2970,4605,1705,47,4078,405,137,2,3580,6100,170,167,9572,2379,2409,1981,3023,249,1732,1469,7066,1915,4905,1127,1153,15,1234,2401,353,1947,1610,3168,22,490,4521,933,4154,1122,1537,1120,10,14,3730,21299,1391,1196,700,5642,636,3,1958,4273,1547,40,6730,244,464,2187,345,40,60,3818,585,24,728,78,18,4983,7922,1053,8,1,0,29,127,90,5547
TCGA-22-5473-01,6658,2668,1659,2530,3464,18740,93,4143,969,3535,2780,609,723,2999,752,26610,622,966,2878,4348,6748,2114,1874,3801,117,1767,46,6471,6275,288,2127,2871,1073,3095,46,4493,10677,1044,3018,909,23,531,760,27,5,1096,3472,16005,93,1989,1342,100,2670,733,472,1212,984,1725,576,990,171,2252,1,488,957,1238,708,806,1426,2,385,1745,347,1658,213,509,1053,13,46,713,9424,490,433,2627,807,464,16,716,4144,274,62,550,139,196,1121,330,15,105,896,272,3,265,46,28,482,778,495,10,4,13,13,20,35,111
TCGA-22-5474-01,4329,3335,2073,1156,1997,14981,245,4426,303,7922,3981,975,4015,3933,3167,4679,792,2723,6871,5713,4275,3091,3408,4823,715,3443,215,5341,6112,1116,688,3397,1366,6071,204,5314,14215,3021,2792,1219,715,2880,741,130,441,995,5568,11712,324,1199,2037,369,1558,931,99,1923,360,3632,900,1644,93,2088,2,2559,527,98,888,821,229,6,126,820,486,2469,10,2030,1290,18,27,4728,8080,786,141,917,1438,1556,129,4,3122,641,2,2599,330,323,2853,1152,150,2133,4921,1200,8,171,32,66,1696,1090,179,10,6,5,4,1457,109,977
TCGA-22-5477-01,4876,7708,2016,775,2684,17641,363,8249,937,6454,608,1218,2564,7613,658,14245,725,64,4843,2413,4303,1563,5001,5028,603,3272,178,3207,10782,199,230,1455,1391,13079,286,6197,11080,1277,2336,1904,20,760,752,22,1,718,3969,30874,36,3068,652,23,3334,511,104,2069,95,2351,1065,2926,54,3422,17,565,1862,1058,435,576,672,7,288,778,246,277,458,678,1567,5,36,1535,10334,1132,255,381,520,1344,142,275,2199,404,8,758,131,104,937,159,85,98,666,67,5,150,19,51,503,703,176,14,3,3,12,33,168,68
